id,predicted_income,turn_cur_cr_avg_act_v2,gender,salary_6to12m_avg,incomeValue,hdb_outstand_sum,hdb_bki_active_cc_max_limit,turn_cur_db_avg_act_v2,adminarea,turn_cur_db_avg_v2,age,avg_cur_cr_turn,turn_cur_cr_sum_v2,by_category__amount__sum__eoperation_type_name__ishodjaschij_bystryj_platezh_sbp,dp_ils_avg_salary_1y,dp_ils_paymentssum_avg_12m
125665,113571.9684354361,16283.540329099222,-8735.185448521714,-3456.485583447769,-1138.4338580617143,8550.473520773156,-2479.050336606336,13497.621364808823,-3724.8594185785423,3265.917562572308,859.9779966881765,3395.9734064665386,3596.4310609112863,14446.12861551948,-312.83012123550355,-962.8780387943868
132854,26241.321084064653,-3734.4493429852632,-3913.303014898113,-4231.329094967023,-285.38739941880385,-1996.3628099763152,-1382.8507298238048,-2073.308855178368,-1993.775775919129,-1295.5903482813835,-4297.456542922149,-1929.9037170593888,-1434.2668397740954,-1603.064090249115,-1733.0031307258491,-1449.3412768852052
14665,49856.45121200172,-2651.1537431807683,-6607.10352130476,-4107.908290313759,-4068.1073905719695,-2861.6945861564222,-1906.803500555423,-1188.425561779364,2563.33099978192,-682.7626769165441,1039.6606038629898,-1166.8612897329042,-646.9036057997283,-361.1786776397474,-593.593375565735,-685.2436128447207
95250,261166.1550109185,9937.387569091608,-8028.213661251381,-1062.214252526304,6931.775316333987,-3041.570935414244,-2300.629505107815,1637.7538227443051,-3634.620277962693,3762.888487882002,895.366306469305,7097.487981367086,2692.987777269503,6073.039632316277,19099.59935382643,10448.934825486393
37204,50917.72815159157,-3110.888187173572,5172.882521194104,-4325.434436826513,-3310.34509453134,-2472.8727640986244,-1210.1200419175188,-1410.5861481756565,-2165.201809264436,-1883.7409034191217,1181.1303493126002,-1926.2616099233455,-1643.8521770116186,-1927.701140374468,-525.3538816809943,-610.32348396172
146172,92667.28695224412,-3302.309671531577,3852.537533829391,20916.512902853687,-2419.920960068388,-1835.2498351124104,-1414.8055842747915,-1372.8036903554791,-1003.8930626947724,-1330.9712381621102,920.6439581539544,-369.0594572762159,-365.4316393883492,171.9934531247065,-365.10623023936097,-474.36806077138345
107422,56189.11988662528,-2758.019683288176,-4571.887203448896,-995.332690731398,-2230.0302688404618,-1716.6712096801205,-1374.69079457191,-1882.4462546672728,445.67208292848096,-801.6637884177759,977.8813172226638,-671.7026516398018,-342.67166852702206,-1843.252204172048,-531.5986522175244,-535.440423592847
70423,55301.54782881077,-3142.5269397508705,4445.307780909629,-4455.632859249535,-2799.323835390441,-2241.8900910931857,-1539.235033059898,-1152.1051171697777,-1272.2693777719742,-1092.6811829737433,-6508.774826469445,514.600313703999,-370.8641209573886,-1760.138350511559,-572.1626297104851,-575.736359549214
23638,103613.15672378204,-5713.253461592617,5860.151532758331,-3176.284696953337,11245.657252042674,8706.732660945787,15087.288457937691,-4864.252031930731,-581.9811316772748,214.3133598045718,1049.5830369214248,-1468.1680351858013,2206.7493743070845,-1702.5243659035857,-2630.895343790179,-974.1990541385712
117608,110415.08358589334,32460.40725660506,13394.123571387,-10717.347164835566,10463.85494633204,-4727.055605079478,-2909.5788798208146,12065.900644454458,-4010.933588614733,19880.903714421467,1185.7358031507447,6919.0100612337565,7305.956523354616,-3441.7672158059822,76.46356688440586,-1094.9904000116444
